Title,IMDb Rating,Year,Certificates,Director,Star Cast,MetaScore,Duration (minutes),Poster-src,Genres
In Dubious Battle,6,2016,R,James Franco,"Nat Wolff,James Franco,Vincent,D'Onofrio",43,110,"https://m.media-amazon.com/images/M/MV5BMmVkYzE1ZmQtOWRkZi00ZjgwLTk4YWQtMzk1M2E5MjhlMDcyL2ltYWdlXkEyXkFqcGdeQXVyNTY0MTkxMTg@._V1_QL75_UX190_CR0,0,190,281_.jpg",Crime
Restoration,6.6,1995,R,Michael Hoffman,"Robert Downey,Jr.Sam Neill,David Thewlis",66,117,"https://m.media-amazon.com/images/M/MV5BZmQwODk5ZGItMDk5OS00MjU4LTgyYmUtYTBiMTFhYWM5MDY4XkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_QL75_UX190_CR0,7,190,281_.jpg",Biography
The Newton Boys,6.1,1998,PG-13,Richard Linklater,"Claude Stanush,Richard Linklater,Clark Walker",57,122,"https://m.media-amazon.com/images/M/MV5BMWZmZDMwMjUtYjZiMC00ZWI4LWIwMjQtY2E3NzBlYzk1OWYxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX190_CR0,2,190,281_.jpg",Action
The Bang Bang Club,6.9,2010,R,Steven Silver,"Steven Silver,Greg Marinovich,João Silva",48,106,"https://m.media-amazon.com/images/M/MV5BMjIxNDIyMDU2Ml5BMl5BanBnXkFtZTcwODUxMTA4NA@@._V1_QL75_UX190_CR0,0,190,281_.jpg",Biography
Rogue Trader,6.4,1999,R,James Dearden,"Ewan Mc,Gregor Anna,Friel Cristian,Solimeno",66,101,"https://m.media-amazon.com/images/M/MV5BZGVkODdhNzQtYmY2YS00OGIwLWJjNDktY2Y0NDNjYTQzOTU2XkEyXkFqcGdeQXVyNzQ1ODk3MTQ@._V1_QL75_UX190_CR0,6,190,281_.jpg",Crime
The Counterfeiters,7.5,2007,R,Stefan Ruzowitzky,"Karl Markovics,August Diehl,Devid Striesow",78,99,"https://m.media-amazon.com/images/M/MV5BNDI2NGQwNWItNmRkYy00MzIxLWExMzUtZmU3NTE2NDQ5NzEzXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_QL75_UY281_CR0,0,190,281_.jpg",Crime
Luther,6.6,2003,PG-13,Eric Till,"Joseph Fiennes,Bruno Ganz,Peter Ustinov",47,123,"https://m.media-amazon.com/images/M/MV5BMTU5NjQ1MTQ0M15BMl5BanBnXkFtZTgwNDUwNzgwMzE@._V1_QL75_UX190_CR0,2,190,281_.jpg",Biography
Wuthering Heights,6.6,1992,PG,Peter Kosminsky,"Juliette Binoche,Ralph Fiennes,Janet Mc,Teer",66,105,"https://m.media-amazon.com/images/M/MV5BZjNkZTIyOTctMGU3Yi00ZmI1LTljNDctMTAzNzBmYWFmYWZkXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_QL75_UX190_CR0,0,190,281_.jpg",Drama
Nicholas and Alexandra,7.2,1971,PG,Franklin J. Schaffner,"Michael Jayston,Janet Suzman,Roderic Noble",57,183,"https://m.media-amazon.com/images/M/MV5BMjNiZmU0MDYtMmQwNi00OWY3LTg4MWItYTIyOTFkYTJiMWFmXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_QL75_UX190_CR0,5,190,281_.jpg",Biography
Occupied City,6.5,2023,PG-13,Steve McQueen,"Queen Máxima,of the,Netherlands King,Willem-Alexander Peter,R.,de Vries",76,266,"https://m.media-amazon.com/images/M/MV5BZjliOGVjYzQtMjhlYi00MDdhLWJlZmQtNmRkNDkzOTExOTc5XkEyXkFqcGdeQXVyMTM1NjM2ODg1._V1_QL75_UX190_CR0,0,190,281_.jpg",Documentary
Unsinkable,6.8,2024,PG,Cody Hartman,"Karen Allen,Fiona Dourif,Jayne Wisener",66,100,"https://m.media-amazon.com/images/M/MV5BYWU0NWQyZWUtM2RiZC00NjQwLThkZTUtMDZjNTZlZmYxOGRmXkEyXkFqcGdeQXVyMTY3ODkyNDkz._V1_QL75_UX190_CR0,2,190,281_.jpg",Drama
Truth,6.8,2015,R,James Vanderbilt,"Cate Blanchett,Robert Redford,Dennis Quaid",66,125,"https://m.media-amazon.com/images/M/MV5BMzkxNjU2MzMzOF5BMl5BanBnXkFtZTgwOTA3Mjg4NjE@._V1_QL75_UY281_CR1,0,190,281_.jpg",Biography
Cry Freedom,7.4,1987,PG,Richard Attenborough,"Donald Woods,John Briley",59,157,"https://m.media-amazon.com/images/M/MV5BZGRlYmNjYzgtM2QzYS00MWI1LWFmM2YtOWY1Zjc3MThlYWUyXkEyXkFqcGdeQXVyODU2MDg1NzU@._V1_QL75_UY281_CR5,0,190,281_.jpg",Biography
The Innocents,7.3,2016,PG-13,Anne Fontaine,"Sabrina,B.,Karine Alice,Vial Anne,Fontaine",78,115,"https://m.media-amazon.com/images/M/MV5BMjQ0MTI2NjgyMF5BMl5BanBnXkFtZTgwMjU1NTMyOTE@._V1_QL75_UY281_CR1,0,190,281_.jpg",Drama
Lonely Hearts,6.4,2006,R,Todd Robinson,"John Travolta,Salma Hayek,Jared Leto",60,108,"https://m.media-amazon.com/images/M/MV5BYTIxNGNjZTMtMGM5Ny00MmQ5LWEwODQtYTZkNGY2MjQ1MGM3XkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_QL75_UX190_CR0,0,190,281_.jpg",Biography
Experimenter,6.6,2015,PG-13,Michael Almereyda,"Peter Sarsgaard,Winona Ryder,Jim Gaffigan",81,98,"https://m.media-amazon.com/images/M/MV5BOTA4NzYwMDI0NF5BMl5BanBnXkFtZTgwNTgzNDczNjE@._V1_QL75_UX190_CR0,0,190,281_.jpg",Biography
One Night with the King,6,2006,PG,Michael O. Sajbel,"Tiffany Dupont,Luke Goss,John Noble",38,123,"https://m.media-amazon.com/images/M/MV5BMTQ0NzQwNjcxOV5BMl5BanBnXkFtZTcwNDM0MDczMQ@@._V1_QL75_UX190_CR0,0,190,281_.jpg",Biography
Zulu Dawn,6.6,1979,PG,Douglas Hickox,"Cy Endfield,Anthony Story",66,98,"https://m.media-amazon.com/images/M/MV5BMzZhNjNmZTAtYjdhMy00MjY5LWIwYjctOGZiOTYwMmQxOTRhXkEyXkFqcGdeQXVyNjc5NjEzNA@@._V1_QL75_UX190_CR0,2,190,281_.jpg",Adventure
Eiffel,6.2,2021,R,Martin Bourboulon,"Caroline Bongrand,Thomas Bidegain,Natalie Carter",52,108,"https://m.media-amazon.com/images/M/MV5BN2QzNWYwODAtZjY3Ny00MDRhLTllYTUtNDVkMTMxYzQyNmQzXkEyXkFqcGdeQXVyMTQzNTA5MzYz._V1_QL75_UX190_CR0,0,190,281_.jpg",Biography
Moonage Daydream,7.6,2022,PG-13,Brett Morgen,"David Bowie,Trevor Bolder,Ken Fordham",83,135,"https://m.media-amazon.com/images/M/MV5BNzU1YjhlNGQtYjViMC00OTZjLTgyYjMtODhmMTIwNGQ4MTQ0XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UY281_CR1,0,190,281_.jpg",Documentary
Little Ashes,6.4,2008,R,Paul Morrison,"Robert Pattinson,Javier Beltrán,Matthew Mc,Nulty",41,112,"https://m.media-amazon.com/images/M/MV5BMTgxOTM0NjcyOV5BMl5BanBnXkFtZTcwMDE0MDAwMg@@._V1_QL75_UY281_CR2,0,190,281_.jpg",Biography
Red Joan,6.4,2018,R,Trevor Nunn,"Judi Dench,Sophie Cookson,Stephen Campbell,Moore",45,101,"https://m.media-amazon.com/images/M/MV5BOTBhMDZjZmQtNmJjYS00OWI0LTkxM2ItN2ExZTc3NzkxZmJlXkEyXkFqcGdeQXVyODY3Nzc0OTk@._V1_QL75_UX190_CR0,0,190,281_.jpg",Biography
Apollo 11,8.1,2019,G,Todd Douglas Miller,"Neil Armstrong,Mike Collins,Buzz Aldrin",88,93,"https://m.media-amazon.com/images/M/MV5BMTYyMzEzNjI4M15BMl5BanBnXkFtZTgwODgxOTgyNzM@._V1_QL75_UX190_CR0,0,190,281_.jpg",Documentary
Churchill,6,2017,PG,Jonathan Teplitzky,"Brian Cox,Miranda Richardson,John Slattery",44,105,"https://m.media-amazon.com/images/M/MV5BZGYyN2IyMzctZGNiMi00Y2VmLWFjNGItYTk3NzdkNDAwYTUyXkEyXkFqcGdeQXVyNzY1NzQ2MDk@._V1_QL75_UX190_CR0,0,190,281_.jpg",Biography
Goya's Ghosts,6.9,2006,R,Milos Forman,"Javier Bardem,Natalie Portman,Stellan Skarsgard",52,113,"https://m.media-amazon.com/images/M/MV5BYTFlY2E0NWEtOTk0MS00OTMxLTllYmItZDFlNDhiNzQyYTBkXkEyXkFqcGdeQXVyNDkzNTM2ODg@._V1_QL75_UY281_CR1,0,190,281_.jpg",Biography
Benediction,6.6,2021,PG-13,Terence Davies,"Jack Lowden,Thom Ashley,Orlando Jopling",81,137,"https://m.media-amazon.com/images/M/MV5BOGM4Njk0MWQtODk2NS00NDU2LTg5YzctOGYyZDM0MzUxMzRmXkEyXkFqcGdeQXVyMTM1MTE1NDMx._V1_QL75_UX190_CR0,0,190,281_.jpg",Biography
Matewan,7.9,1987,PG-13,John Sayles,"Chris Cooper,James Earl,Jones Mary,Mc Donnell",73,135,"https://m.media-amazon.com/images/M/MV5BZmFlYzMxMTItODgyYy00ZjM2LTkzZGEtOGZmMTc0YzlmY2FlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX190_CR0,3,190,281_.jpg",Drama
Restrepo,7.4,2010,R,Tim Hetherington,"The Men,of Battle,Company 2nd,of the,503rd Infantry,Regiment 173rd,Airborne Brigade,Combat Team,Juan,'Doc Restrepo,Dan Kearney",85,93,"https://m.media-amazon.com/images/M/MV5BMjIwNDAxMTY4Ml5BMl5BanBnXkFtZTcwMTUyMTQ1Mw@@._V1_QL75_UX190_CR0,6,190,281_.jpg",Documentary
Once Upon a Time in China,7.2,1991,R,Hark Tsui,"Hark Tsui,Kai-Chi Yuen,Yiu-Ming Leung",66,134,"https://m.media-amazon.com/images/M/MV5BMzdiNGZiMDAtMmZmYS00ODhhLTlmMDktOWM1N2JlOTdkZjZmXkEyXkFqcGdeQXVyNzI1NzMxNzM@._V1_QL75_UX190_CR0,1,190,281_.jpg",Action
Stone of Destiny,6.7,2008,PG,Charles Martin Smith,"Charlie Cox,Kate Mara,Stephen Mc,Cole",66,96,"https://m.media-amazon.com/images/M/MV5BMTc5MzQ4ODAzM15BMl5BanBnXkFtZTcwNzEyNDkxMg@@._V1_QL75_UY281_CR11,0,190,281_.jpg",Adventure
Becket,7.8,1964,PG-13,Peter Glenville,"Richard Burton,Peter,O'Toole John,Gielgud",68,148,"https://m.media-amazon.com/images/M/MV5BM2MyYTg5MDAtNjVlNy00MzZkLTgxOGQtMzVkZTdlYWNiYzUyXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_QL75_UX190_CR0,5,190,281_.jpg",Biography
Joyeux Noel,7.7,2005,PG-13,Christian Carion,"Diane Kruger,Benno Fürmann,Guillaume Canet",70,116,"https://m.media-amazon.com/images/M/MV5BZDEyMzEzODctYTYyNy00OWZjLThlNWQtM2QxZTdjMWViZDQ1XkEyXkFqcGdeQXVyMTcwOTQzOTYy._V1_QL75_UY281_CR1,0,190,281_.jpg",Drama
Bent,7.1,1997,NC-17,Sean Mathias,Martin Sherman,66,105,"https://m.media-amazon.com/images/M/MV5BZmY5Njc4YzktMTJmZS00MDBjLTkxZDQtYTU0ODdiZjQ3MTNiXkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_QL75_UY281_CR5,0,190,281_.jpg",Drama
LBJ,6.5,2016,R,Rob Reiner,"Woody Harrelson,Michael,Stahl-David Richard,Jenkins",54,98,"https://m.media-amazon.com/images/M/MV5BMzM2Njg5NDU4MF5BMl5BanBnXkFtZTgwMDMwMTQ1MzI@._V1_QL75_UX190_CR0,5,190,281_.jpg",Biography
Sunshine,7.5,1999,R,István Szabó,"István SzabóIsrael,Horovitz",71,181,"https://m.media-amazon.com/images/M/MV5BMjMzODk0YWEtMWQyNS00ZDJjLWJmZTktZTc4ZTBiZDY4ZDJiXkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_QL75_UY281_CR2,0,190,281_.jpg",Drama
Mrs. Brown,7.2,1997,PG,John Madden,"Judi Dench,Billy Connolly,Geoffrey Palmer",71,101,"https://m.media-amazon.com/images/M/MV5BNDE4ZGY0MWUtMTA5Ni00NjhiLWFkNTktNWM1MjliZTUwN2IwXkEyXkFqcGdeQXVyMTU3NDU4MDg2._V1_QL75_UX190_CR0,1,190,281_.jpg",Biography
Shock and Awe,6.4,2017,R,Rob Reiner,"Woody Harrelson,James Marsden,Rob Reiner",47,90,"https://m.media-amazon.com/images/M/MV5BMDNkOTAzOWEtZjA2NS00ZmI3LWJmODMtYjEyZThhN2IwMjQxXkEyXkFqcGdeQXVyMjgyOTI1ODY@._V1_QL75_UX190_CR0,0,190,281_.jpg",Biography
Operation Daybreak,7,1975,PG,Lewis Gilbert,"Timothy Bottoms,Martin Shaw,Joss Ackland",66,118,"https://m.media-amazon.com/images/M/MV5BZjE5MWQ2Y2MtZDM4My00NzBmLTk0N2ItOWU5MjgyZDEzMjA1XkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_QL75_UX190_CR0,3,190,281_.jpg",Drama
Cyrano de Bergerac,7.5,1990,PG,Jean-Paul Rappeneau,"Gérard Depardieu,Anne Brochet,Vincent Perez",79,137,"https://m.media-amazon.com/images/M/MV5BOGEzOGJkMzktODU0Zi00NTI5LWEyNmUtMjliMjY3ODMzMTdhXkEyXkFqcGdeQXVyNjA0Mzc0MzI@._V1_QL75_UX190_CR0,4,190,281_.jpg",Comedy
Kundun,7,1997,PG-13,Martin Scorsese,"Tenzin Thuthob,Tsarong Gyurme,Tethong Tulku,Jamyang Kunga,Tenzin",74,134,"https://m.media-amazon.com/images/M/MV5BMzYyNzU4NTAtZDRmNi00ZWFlLTk3MTYtNjU5YTc5ZmM2YzZhXkEyXkFqcGdeQXVyNjc5NjEzNA@@._V1_QL75_UX190_CR0,2,190,281_.jpg",Biography
Cheyenne Autumn,6.7,1964,Approved,John Ford,"Richard Widmark,Carroll Baker,Karl Malden",66,154,"https://m.media-amazon.com/images/M/MV5BYWM2YjVkM2UtNTdjOS00ZDVlLTg1MjYtMGUxYzQ5YjJhODM4XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_QL75_UX190_CR0,4,190,281_.jpg",Drama
Stan & Ollie,7.2,2018,PG,Jon S. Baird,Steve Coogan,75,98,"https://m.media-amazon.com/images/M/MV5BNGNkYTJiNWUtMzZlNi00YmZlLTg3ZTctZTY2MWVkNTQ5MTQyXkEyXkFqcGdeQXVyMjM4NTM5NDY@._V1_QL75_UX190_CR0,0,190,281_.jpg",Biography
1776,7.6,1972,PG,Peter H. Hunt,William Daniels,57.1,141,"https://m.media-amazon.com/images/M/MV5BNGZhYWMxMDMtODU2Yi00MDVmLWI4ODYtMzgyNjg4NGNjZjM2XkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_QL75_UX190_CR0,7,190,281_.jpg",Drama
Spare Parts,7.2,2015,PG-13,Sean McNamara,"George Lopez,Jamie Lee,Curtis Carlos,Pena Vega",50,114,"https://m.media-amazon.com/images/M/MV5BMTc5NzI4NTIyMF5BMl5BanBnXkFtZTgwMzIzNDMxMzE@._V1_QL75_UX190_CR0,0,190,281_.jpg",Biography
Hollywoodland,6.5,2006,R,Allen Coulter,"Adrien Brody,Ben Affleck,Diane Lane",62,126,"https://m.media-amazon.com/images/M/MV5BMTc4ODQ2OTI5NF5BMl5BanBnXkFtZTcwMDIyNjYzMQ@@._V1_QL75_UX190_CR0,0,190,281_.jpg",Biography
Woodstock,8.1,1970,R,Michael Wadleigh,"Joan Baez,Richie Havens,Roger Daltrey",95,184,"https://m.media-amazon.com/images/M/MV5BMzJkZTZkYzktYjlkMi00MzI1LThlYjEtOTYzZWQxOTI4MzI0XkEyXkFqcGdeQXVyNjc5NjEzNA@@._V1_QL75_UX190_CR0,2,190,281_.jpg",Documentary
Exit Through the Gift Shop,7.9,2010,R,Banksy,"Banksy,Mr.,Brainwash Space,Invader",85,87,"https://m.media-amazon.com/images/M/MV5BMjE2NTg1NDM4Ml5BMl5BanBnXkFtZTcwMzMxOTkyMw@@._V1_QL75_UX190_CR0,0,190,281_.jpg",Documentary
Black '47,6.8,2018,R,Lance Daly,"P.J.,Dillon Pierce,Ryan Eugene,O'Brien",65,100,"https://m.media-amazon.com/images/M/MV5BNzQzMzAwOGYtMjFkMC00YTQwLTllNWEtYmU5NzM2NWExNzI4XkEyXkFqcGdeQXVyODY3Nzc0OTk@._V1_QL75_UX190_CR0,0,190,281_.jpg",Action
Retrograde,7.3,2022,R,Matthew Heineman,"Daniel Radcliffe,Emma Watson,Rupert Grint",76,94,"https://m.media-amazon.com/images/M/MV5BNTA3ZGNmNDQtMTNjMy00OGRkLTk3MTMtOWRhMGY5MmNiOTM1XkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_QL75_UX190_CR0,0,190,281_.jpg",Documentary
Mark of the Devil,6.1,1970,R,Michael Armstrong,"Herbert Lom,Udo Kier,Olivera Katarina",66,90,"https://m.media-amazon.com/images/M/MV5BZmY0NWE3MzAtZjEwZC00OGY0LTg3YzEtMGE1MTA1NTU4YmZkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX190_CR0,9,190,281_.jpg",Drama
Driven,6.4,2018,R,Nick Hamm,"Jason Sudeikis,Lee Pace,Judy Greer",55,113,"https://m.media-amazon.com/images/M/MV5BOGI3N2QyOWUtOGVjZi00MjkzLWEyMGYtOTY3YTFhZDgwZTM1XkEyXkFqcGdeQXVyMzQwMTY2Nzk@._V1_QL75_UX190_CR0,3,190,281_.jpg",Biography
Ip Man 3,7,2015,PG-13,Wilson Yip,"Donnie Yen,Lynn Xiong,Jin Zhang",57,105,"https://m.media-amazon.com/images/M/MV5BMGMwZDU3OGItYmM5ZS00MDhkLTllNjgtMDA1ZjlmNjk4OTg3XkEyXkFqcGdeQXVyNjc5Mjg4Nzc@._V1_QL75_UX190_CR0,2,190,281_.jpg",Action
Scandal,6.4,1989,R,Michael Caton-Jones,"John Hurt,Joanne Whalley,Bridget Fonda",66,106,"https://m.media-amazon.com/images/M/MV5BZmVmYzQ3NzQtNmI1Ny00ZjhkLWI3OTgtYjUwM2FmY2U1ZjQzXkEyXkFqcGdeQXVyMzY0MTE3NzU@._V1_QL75_UX190_CR0,4,190,281_.jpg",Drama
Marshall,7.3,2017,PG-13,Reginald Hudlin,"Chadwick Boseman,Josh Gad,Kate Hudson",66,118,"https://m.media-amazon.com/images/M/MV5BNzg3YTc4N2ItZmZkZS00OWE1LWIyNGMtNzYzZWQzMzVkZWI2XkEyXkFqcGdeQXVyNTQ3MjE4NTU@._V1_QL75_UX190_CR0,0,190,281_.jpg",Biography
Geronimo: An American Legend,6.5,1993,PG-13,Walter Hill,"John Milius,Larry Gross",58,115,"https://m.media-amazon.com/images/M/MV5BNDRhZTYyYTEtMjA4My00MmI1LThkNTMtMjBkYmQ3ZDgwM2I1XkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_QL75_UX190_CR0,4,190,281_.jpg",Drama
Little Boy,7.3,2015,PG-13,Alejandro Monteverde,"Jakob Salvati,Emily Watson,David Henrie",30,106,"https://m.media-amazon.com/images/M/MV5BMTU5MjMyODcxMF5BMl5BanBnXkFtZTgwMzIwMDM2NDE@._V1_QL75_UX190_CR0,2,190,281_.jpg",Drama
Eight Men Out,7.2,1988,PG,John Sayles,"John Cusack,Clifton James,Jace Alexander",71,119,"https://m.media-amazon.com/images/M/MV5BMTUxMTIzNTY4N15BMl5BanBnXkFtZTcwMDQ4NjYzNA@@._V1_QL75_UX190_CR0,2,190,281_.jpg",Drama
Heaven & Earth,6.8,1993,R,Oliver Stone,"Le Ly,Hayslip Jay,Wurts James,Hayslip",66,140,"https://m.media-amazon.com/images/M/MV5BYTkyMmNiMjItYzJlZi00NzI5LTg4NmEtMzFjODgxMjMxNzk2XkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_QL75_UX190_CR0,2,190,281_.jpg",Action
The Grey Zone,7,2001,R,Tim Blake Nelson,"Miklos Nyiszli,Tim Blake,Nelson",58,108,"https://m.media-amazon.com/images/M/MV5BMTgzNjQzMTQ0NF5BMl5BanBnXkFtZTYwNjA0Mjc3._V1_QL75_UY281_CR2,0,190,281_.jpg",Drama
Amazing Grace,7.4,2006,PG,Michael Apted,"Ioan Gruffudd,Albert Finney,Michael Gambon",65,118,"https://m.media-amazon.com/images/M/MV5BMTI5MTkxMDA4M15BMl5BanBnXkFtZTcwNjA4Mjg0MQ@@._V1_QL75_UX190_CR0,0,190,281_.jpg",Biography
Ned Kelly,6.4,2003,R,Gregor Jordan,"Heath Ledger,Orlando Bloom,Geoffrey Rush",56,110,"https://m.media-amazon.com/images/M/MV5BYmVjYzRkYjItODlmZS00OTEzLTliZjItYjMwOGRmMzhmY2RmXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_QL75_UY281_CR0,0,190,281_.jpg",Action
Bobby,7,2006,R,Emilio Estevez,"Anthony Hopkins,Demi Moore,Sharon Stone",54,117,"https://m.media-amazon.com/images/M/MV5BOTJlODM5MTQtZDFlYS00ZjY4LTgzNGQtYmFlYmQxZDNhODFlXkEyXkFqcGdeQXVyMTU3NDU4MDg2._V1_QL75_UX190_CR0,2,190,281_.jpg",Biography
The Conspirator,6.9,2010,PG-13,Robert Redford,"James,D.,Solomon Gregory,Bernstein",55,122,"https://m.media-amazon.com/images/M/MV5BMTczMDI0MzQ3MV5BMl5BanBnXkFtZTcwMjU5NTc0NA@@._V1_QL75_UX190_CR0,0,190,281_.jpg",Crime
The Lion of the Desert,8.2,1980,PG,Moustapha Akkad,"Anthony Quinn,Oliver Reed,Rod Steiger",66,173,"https://m.media-amazon.com/images/M/MV5BNGUxMDYzNjktNjgwZi00ZjIwLTgwNzItNDQ5Mzg5ZWU0YWRlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_QL75_UY281_CR8,0,190,281_.jpg",Biography
The Cove,8.4,2009,PG-13,Louie Psihoyos,"Richard,O'Barry Louie,Psihoyos Hardy,Jones",84,92,"https://m.media-amazon.com/images/M/MV5BMzM3NTRhMTctNTE2MS00YjJmLWE2ZmMtMmY3MWI0ODExMTMzXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_QL75_UY281_CR5,0,190,281_.jpg",Documentary
Beyond Utopia,7.9,2023,PG-13,Madeleine Gavin,"Hyeonseo Lee,Sung-eun Kim,So-yeon Lee",84,115,"https://m.media-amazon.com/images/M/MV5BMzhlOTQyYTYtYTY5Yy00ZDkxLTkwYTYtMjQzOGE1ODllZjhjXkEyXkFqcGdeQXVyMTAyMjQ3NzQ1._V1_QL75_UX190_CR0,0,190,281_.jpg",Documentary
Before Dawn,6.3,2024,R,Jordon Prince-Wright,"Travis Jeffery,Levi Miller,Ed Oxenbould",66,101,"https://m.media-amazon.com/images/M/MV5BYzI1MGIxNDItMzdiYi00NjhkLTg2NmYtNjg0OGRmYWI0NWZjXkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg",Drama
Mark Felt: The Man Who Brought Down the White House,6.4,2017,PG-13,Peter Landesman,"Liam Neeson,Diane Lane,Marton Csokas",49,103,"https://m.media-amazon.com/images/M/MV5BMjQzMDEwMjMyNF5BMl5BanBnXkFtZTgwNjA1NTA1MzI@._V1_QL75_UX190_CR0,6,190,281_.jpg",Biography
Emperor,6.5,2012,PG-13,Peter Webber,"Matthew Fox,Colin Moy,Tommy Lee Jones",48,105,"https://m.media-amazon.com/images/M/MV5BMjI4OTcwMTY3N15BMl5BanBnXkFtZTcwMTI1MzcxOQ@@._V1_QL75_UX190_CR0,0,190,281_.jpg",Drama
Napoleon,8.2,1927,R,Abel Gance,"Albert DieudonnéVladimir,Roudenko Edmond,Van Daële",66,116.3,"https://m.media-amazon.com/images/M/MV5BZjI4MDEzNTktMGU4ZC00YjFiLTg4OWEtNzNkMWVlY2YwOTdjXkEyXkFqcGdeQXVyNjEwMTA0NTc@._V1_QL75_UX190_CR0,5,190,281_.jpg",Biography
Casanova,7,1976,R,Federico Fellini,"Donald Sutherland,Tina Aumont,Cicely Browne",66,155,"https://m.media-amazon.com/images/M/MV5BNDNjMTUyYzktOWYwNS00NWQ4LTgyNzktYTFjNTIwNjhhNTFiXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_QL75_UX190_CR0,4,190,281_.jpg",Biography
The Salt of the Earth,8.4,2014,PG-13,Juliano Ribeiro Salgado,"Sebastião Salgado,Wim Wenders,Lélia Wanick,Salgado",83,110,"https://m.media-amazon.com/images/M/MV5BNjkyNjI3ODc0Ml5BMl5BanBnXkFtZTgwMTU0MjM2NDE@._V1_QL75_UX190_CR0,8,190,281_.jpg",Documentary
Another Country,7,1984,PG,Marek Kanievska,Julian Mitchell,66,90,"https://m.media-amazon.com/images/M/MV5BMWExYjc2ZmYtOGE3OS00ZDA2LThmMDktODdhZGJlNDc4YmUxXkEyXkFqcGdeQXVyNTMzOTU3NzA@._V1_QL75_UX190_CR0,4,190,281_.jpg",Biography
The Invisible Woman,6.1,2013,R,Ralph Fiennes,"Ralph Fiennes,Felicity Jones,Kristin Scott,Thomas",75,111,"https://m.media-amazon.com/images/M/MV5BMzQxMTI3MDUzOF5BMl5BanBnXkFtZTgwNzc4MzI1MDE@._V1_QL75_UX190_CR0,0,190,281_.jpg",Biography
Resistance,6.5,2020,R,Jonathan Jakubowicz,"Jesse Eisenberg,Clémence Poésy,Matthias Schweighalfer",53,120,"https://m.media-amazon.com/images/M/MV5BNjcyNjEwZTctMjcyMy00YjQ3LWIxZDMtY2NiZmM1ODQzNjg3XkEyXkFqcGdeQXVyNzI1NzMxNzM@._V1_QL75_UY281_CR5,0,190,281_.jpg",Biography
The Libertine,6.2,2004,R,Laurence Dunmore,Stephen Jeffreys,44,114,"https://m.media-amazon.com/images/M/MV5BMTE5MTQ4ODQzNl5BMl5BanBnXkFtZTYwMDIxNTQ3._V1_QL75_UY281_CR1,0,190,281_.jpg",Biography
Missing,7.7,1982,PG,Costa-Gavras,"Costa-Gavras Donald,E.,Stewart Thomas,Hauser",78,122,"https://m.media-amazon.com/images/M/MV5BMGJmOGZiN2YtYWI2MS00ZGQzLWEwMmQtZTdiYjFjOWFiZDg4XkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_QL75_UX190_CR0,3,190,281_.jpg",Biography
The War,6.7,1994,PG-13,Jon Avnet,"Elijah Wood,Kevin Costner,Mare Winningham",66,126,"https://m.media-amazon.com/images/M/MV5BNzdiNTFjMWYtOWUyYi00NTI3LTk5MzYtNTUzMGY3MDM3NTMxXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_QL75_UX190_CR0,0,190,281_.jpg",Drama
Mandela: Long Walk to Freedom,7.1,2013,PG-13,Justin Chadwick,"Idris Elba,Naomie Harris,Terry Pheto",60,141,"https://m.media-amazon.com/images/M/MV5BMTg1NTQ1NDczNV5BMl5BanBnXkFtZTcwNDQyMDU1OQ@@._V1_QL75_UX190_CR0,0,190,281_.jpg",Biography
"Paul, Apostle of Christ",6.6,2018,PG-13,Andrew Hyatt,"Jim Caviezel,James Faulkner,Olivier Martinez",52,108,"https://m.media-amazon.com/images/M/MV5BMWRkYTQ4NzctMDAwYS00NmE3LWI5NzUtMTMzNTQ0MDgwOWI1XkEyXkFqcGdeQXVyODQyOTY2OTA@._V1_QL75_UX190_CR0,0,190,281_.jpg",Adventure
