Title,IMDb Rating,Year,Certificates,Director,Star Cast,MetaScore,Duration (minutes),Poster-src,Genres
Kinds of Kindness,7,2024,R,Yorgos Lanthimos,"Efthimis Filippou,Yorgos Lanthimos",72,164,No Poster Available,Comedy
Mother of the Bride,4.8,2024,TV-PG,Mark Waters,"Brooke Shields,Miranda Cosgrove,Benjamin Bratt",39,88,No Poster Available,Comedy
Beetlejuice Beetlejuice,7.1,2024,R,Tim Burton,"Alfred Gough,Miles Millar,Seth,Grahame-Smith",66.9,116.3,No Poster Available,Comedy
The Idea of You,6.4,2024,R,Michael Showalter,"Anne Hathaway,Nicholas Galitzine,Ella Rubin",67,115,No Poster Available,Comedy
IF,6.5,2024,PG,John Krasinski,Cailey Fleming,46,104,"https://m.media-amazon.com/images/M/MV5BYWQ4OGI2MmQtZjUxMC00Njg2LWJiZTQtYmFmZjI5ZmI1Y2U1XkEyXkFqcGdeQXVyMTA1NjE5MTAz._V1_QL75_UY281_CR1,0,190,281_.jpg",Animation
The Fall Guy,7.1,2024,PG-13,David Leitch,"Ryan Gosling,Emily Blunt,Aaron Taylor-Johnson",73,126,No Poster Available,Action
Elvira Madigan,7,1967,PG,Bo Widerberg,"Pia Degermark,Thommy Berggren,Lennart Malmer",66,91,"https://m.media-amazon.com/images/M/MV5BMmY2NjA5MTktYTAxOS00M2Q2LWE3OGEtMjQ0Y2UxNTE2OGE1XkEyXkFqcGdeQXVyMjI4MjA5MzA@._V1_QL75_UY281_CR7,0,190,281_.jpg",Biography
The Kid Stays in the Picture,7.3,2002,R,Nanette Burstein,"Robert Evans,Eddie Albert,Peter Bart",75,93,"https://m.media-amazon.com/images/M/MV5BZjhiZmI4NjgtZjhiNC00MGNhLTg4YWMtOWIwYzJhMjc2Yjk1XkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_QL75_UX190_CR0,1,190,281_.jpg",Documentary
Mahler,7,1974,PG,Ken Russell,"Robert Powell,Georgina Hale,Lee Montague",66,115,"https://m.media-amazon.com/images/M/MV5BYzY4MzQ3ZWMtMDM5ZC00ODcxLWEwMDgtZWYzMTJlMGRlZmU1XkEyXkFqcGdeQXVyMjUyNDk2ODc@._V1_QL75_UX190_CR0,2,190,281_.jpg",Biography
The Dark Horse,7.4,2014,R,James Napier Robertson,"Cliff Curtis,James Rolleston,Kirk Torrance",77,124,"https://m.media-amazon.com/images/M/MV5BMjQzNjIxOTI4OF5BMl5BanBnXkFtZTgwMzQwNTg5NzE@._V1_QL75_UY281_CR0,0,190,281_.jpg",Biography
Stephen Curry: Underrated,7.3,2023,PG-13,Peter Nicks,"Stephen Curry,Bob Mc,Killop Jason,Richards",69,110,"https://m.media-amazon.com/images/M/MV5BOTNhZWEzZWYtMDE3ZS00ZTBmLTg4ZTktZTE4ZmI3ZjBkYjQ5XkEyXkFqcGdeQXVyMjkwOTAyMDU@._V1_QL75_UX190_CR0,2,190,281_.jpg",Documentary
Carrington,6.8,1995,R,Christopher Hampton,"Emma Thompson,Jonathan Pryce,Steven Waddington",66,121,"https://m.media-amazon.com/images/M/MV5BZjQ3MTBkNDEtMGRlZS00OTY0LTkzYjktOWU2MzI3ZDRiMjY5XkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_QL75_UX190_CR0,2,190,281_.jpg",Biography
Georgetown,6.2,2019,R,Christoph Waltz,"Christoph Waltz,Vanessa Redgrave,Annette Bening",49,99,"https://m.media-amazon.com/images/M/MV5BMmZlMzQ5N2MtMWI0ZS00MzMxLWE1MjYtZDUwZGNjYjYzZmYyXkEyXkFqcGdeQXVyMTA3MDk2NDg2._V1_QL75_UX190_CR0,2,190,281_.jpg",Biography
Miles Ahead,6.4,2015,R,Don Cheadle,"Steven Baigelman,Don Cheadle,Stephen,J.,Rivele",64,100,"https://m.media-amazon.com/images/M/MV5BYTU5NDRjNmItZGZlMi00ZjJiLTk5YzAtZmY1ZDc4ZGZhMjFhXkEyXkFqcGdeQXVyNTM0OTY0NTI@._V1_QL75_UX190_CR0,0,190,281_.jpg",Biography
The King of Kong: A Fistful of Quarters,8,2007,PG-13,Seth Gordon,"Steve Wiebe,Billy Mitchell,Mark Alpiger",83,79,"https://m.media-amazon.com/images/M/MV5BMzIwMmIwNzEtODhhOS00ZjFjLWI1OGMtNjBiMDFkMTgzZTY2XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_QL75_UX190_CR0,0,190,281_.jpg",Documentary
The Devil's Violinist,6,2013,R,Bernard Rose,"David Garrett,Jared Harris,Joely Richardson",38,122,"https://m.media-amazon.com/images/M/MV5BNTQ1MjUzMTY0Nl5BMl5BanBnXkFtZTgwNjAwNDM1MDE@._V1_QL75_UY281_CR5,0,190,281_.jpg",Biography
Cobb,6.4,1994,R,Ron Shelton,"Al Stump,Ron Shelton",66,128,"https://m.media-amazon.com/images/M/MV5BMzg5YzgwMjgtOWFiYy00YmEyLWJlY2EtZjg5YWQwOTlkMTBlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX190_CR0,0,190,281_.jpg",Biography
Godard Mon Amour,6.6,2017,R,Michel Hazanavicius,"Louis Garrel,Stacy Martin,Bérénice Bejo",55,107,"https://m.media-amazon.com/images/M/MV5BYTNkNGQ0MDctNGNjMS00Y2NhLTk4MTItYjMyMDczZWVjMTJkXkEyXkFqcGdeQXVyNjc0MzY3NTA@._V1_QL75_UX190_CR0,0,190,281_.jpg",Biography
It's All Gone Pete Tong,7.2,2004,R,Michael Dowse,"Paul Kaye,Beatriz Batarda,Kate Magowan",56,90,"https://m.media-amazon.com/images/M/MV5BMTY0OTY2MzMyN15BMl5BanBnXkFtZTcwNzE5NTgyMQ@@._V1_QL75_UX190_CR0,0,190,281_.jpg",Biography
Chuck,6.5,2016,R,Philippe Falardeau,"Jeff Feuerzeig,Jerry Stahl,Michael Cristofer",68,98,"https://m.media-amazon.com/images/M/MV5BYzkxYmFlNjQtMGY2Ni00ZDZmLTk4NzktMTc2Mzg0OTY5MjUyXkEyXkFqcGdeQXVyNTIyODMzMzA@._V1_QL75_UX190_CR0,0,190,281_.jpg",Biography
Married Life,6.2,2007,PG-13,Ira Sachs,"Chris Cooper,Patricia Clarkson,Rachel Mc,Adams",65,91,"https://m.media-amazon.com/images/M/MV5BOTUwOTYyMzkxNF5BMl5BanBnXkFtZTcwNjQ2NTg1MQ@@._V1_QL75_UX190_CR0,2,190,281_.jpg",Biography
Lonesome Soldier,6.2,2023,R,Nino Aldi,"Alexander Randazzo,Lionel Chetwynd,Linda Lee",66,109,"https://m.media-amazon.com/images/M/MV5BMzYxMTRkOGItZWMwNy00ZGFiLTg3NDgtMzIxNWQ2M2FiMGFkXkEyXkFqcGdeQXVyNDY4NjQwMTk@._V1_QL75_UX190_CR0,0,190,281_.jpg",Biography
My Father's Glory,7.6,1990,G,Yves Robert,"Louis Nucéra,Marcel Pagnol,Yves Robert",66,105,"https://m.media-amazon.com/images/M/MV5BNzhmN2E0OGItODNjYy00NTlmLTliOWQtOWNjZDQ2MjViOTcwXkEyXkFqcGdeQXVyMTIzMzQ1ODg4._V1_QL75_UY281_CR11,0,190,281_.jpg",Adventure
13 Minutes,7,2015,R,Oliver Hirschbiegel,"Christian Friedel,Katharina Schüttler,Burghart Klaußner",58,114,"https://m.media-amazon.com/images/M/MV5BMTU3MzYzNDEzN15BMl5BanBnXkFtZTgwODM5NTY0MTI@._V1_QL75_UY281_CR3,0,190,281_.jpg",Biography
Salome's Last Dance,6.4,1988,R,Ken Russell,"Glenda Jackson,Stratford Johns,Nickolas Grace",66,89,"https://m.media-amazon.com/images/M/MV5BNzBkNmI5MzQtZDVjOS00YWQ2LTkyMTktYTU1OTE0ZmRhYWM0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX190_CR0,9,190,281_.jpg",Biography
The Wonderful World of the Brothers Grimm,6.4,1962,G,Henry Levin,"David,P.,Harmon Charles,Beaumont William,Roberts",66,135,"https://m.media-amazon.com/images/M/MV5BZTlhMmZlNmMtOWQ5NS00YzNhLWIxMDEtOTA5OGYxYzkwZjhlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_QL75_UX190_CR0,5,190,281_.jpg",Adventure
